[2025-11-03 23:31:03,416] [INFO] app: ✅ Created default superuser: nguyencxh2k4@gmail.com
[2025-11-03 23:31:03,416] [INFO] app: ✅ App started and DB initialized
[2025-11-04 02:00:03,947] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 02:00:03,947] [INFO] app: ✅ App started and DB initialized
[2025-11-04 02:00:14,408] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 02:00:14,408] [INFO] app: ✅ App started and DB initialized
[2025-11-04 02:03:32,222] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 02:03:32,223] [INFO] app: ✅ App started and DB initialized
[2025-11-04 02:03:43,216] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 02:03:43,216] [INFO] app: ✅ App started and DB initialized
[2025-11-04 02:22:43,230] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 02:22:43,230] [INFO] app: ✅ App started and DB initialized
[2025-11-04 02:53:08,489] [INFO] app: ✅ Created default superuser: nguyencxh2k4@gmail.com
[2025-11-04 02:53:08,489] [INFO] app: ✅ App started and DB initialized
[2025-11-04 03:16:02,612] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 03:16:02,613] [INFO] app: ✅ App started and DB initialized
[2025-11-04 03:50:55,174] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 03:50:55,174] [INFO] app: ✅ App started and DB initialized
[2025-11-04 03:53:20,057] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 03:53:20,057] [INFO] app: ✅ App started and DB initialized
[2025-11-04 03:56:29,092] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 03:56:29,092] [INFO] app: ✅ App started and DB initialized
[2025-11-04 04:01:55,130] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 04:01:55,130] [INFO] app: ✅ App started and DB initialized
[2025-11-04 04:03:37,725] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 04:03:37,725] [INFO] app: ✅ App started and DB initialized
[2025-11-04 05:43:44,966] [INFO] app: ✅ Superuser already exists, skip seeding.
[2025-11-04 05:43:44,966] [INFO] app: ✅ App started and DB initialized
[2025-11-04 05:47:26,488] [INFO] app: ✅ Created default superuser: nguyencxh2k4@gmail.com
[2025-11-04 05:47:26,488] [INFO] app: ✅ App started and DB initialized
